Informant,Response
SC34B,a little ways
SC34C,a little ways
SC35A,a little piece
SC35B,a little piece
SC35C,a way
SC35C,a little over
SC35C,a little piece
SC35C,a little ways
SC36A,a few miles
SC36A,a little piece
SC36B,little piece
SC36B,a little ways
SC36B,short piece
SC36B,a little piece
SC36C,a short distance
SC36C,a little ways
SC36C,a short distance
SC36D!,a little way
SC37,a short piece
SC37,a little distance
SC38N,a little ways
SC38N,a little piece
SC38N,a short distance
SC38N,a little piece
SC38A,a little piece
SC38A,just a piece
SC38A,a little piece
SC38A,just a piece
SC38B,a little ways
SC38B,a little piece
SC38B,short distance
SC38C!,a little way
SC38D!,a little way
SC38D!,a short distance
SC39B!,a little bitty (one)
SC39B!,little ways
SC39B!,little bitty
SC39B!,a little piece
SC40A,a little piece
SC40A,a little ways
SC40A,short distance
SC40A,it wasn't so far
SC40B,short distance
SC40B,little piece
SC40B,a little ways
SC40B,little distance
SC41A,a little ways
SC41B,short ways
SC41B,a little ways
SC42N,a piece way
SC42N,just a few steps
SC42N,a little ways
SC42N,just a few steps
SC42A,a little piece
SC42A,short distance
